,Category,Guidelines,Priority,Count,Line,Description,Detail,Help,URL,Target URL,Reference,Source,Index,Status,Date_Found,Date_Fixed
27,Standards,CSS Validation  ,1,4,53 54 161 162 ,Invalid CSS color value., border-top-color: none border-bottom-color: none border-top-color: none border-bottom-color: none,"CSS colors can be specified as: Hex colors must be #rgb or #rrggbb using only the hex digits 0-9 and A-F RGB() colors must be three integers (0-255) or three percentages RGBA() colors must be three integers (0-255) or three percentages, followed by an alpha value between 0.0 and 1.0 HSL() colors must be a number (or angle) followed by two percentages HSLA() colors must be a number (or angle) followed by two percentages and an alpha value between 0.0 and 1.0 Named colors must use one of the 150 named CSS colors (black, white, red...)",https://testfyps.nhlbi.nih.gov/fyps/assets/css/custom-styles.css,, ,1,27,New,03-28-21,N/A
28,Standards,CSS Validation  ,1,2,1357 2620 ,Invalid value for CSS property., cursor: hand height: auto,,https://testfyps.nhlbi.nih.gov/fyps/assets/css/easyui.css,, ,1,28,New,03-28-21,N/A
29,Standards,CSS Validation  ,1,2,3107 3107 ,CSS Validation Error., _filter: chroma( _filter: chroma(,,https://testfyps.nhlbi.nih.gov/fyps/assets/css/easyui.css,, ,1,29,New,03-28-21,N/A
30,Standards,HTML5  ,1,1,913 ,Attribute :buttons not allowed on element.,,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,30,New,03-28-21,N/A
31,Standards,HTML5  ,1,1,920 ,Attribute :iconcls not allowed on element.,,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,31,New,03-28-21,N/A
32,Standards,HTML5  ,1,1,48 ,Bad value for attribute href.,A URL cannot be empty. href='',,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,32,New,03-28-21,N/A
33,Standards,HTML5  ,1,3,116 123 130 ,Bad value for attribute type.,Expected a token character or '/' but saw type='button' type='button' type='button',"Syntax of MIME type: A media-type as defined in RFC 2616; that is, typically, a required type, followed by a / character, followed by a required subtype, optionally followed by one or more instances of a ; character followed by a parameter. Examples: text/css, text/css;charset=utf-8.",https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,33,New,03-28-21,N/A
34,Standards,HTML5  ,1,1,104 ,Duplicate attribute class.,,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,34,New,03-28-21,N/A
35,Standards,HTML5  ,1,5,98 416 622 667 622 ,Duplicate id - the same ID is used on more than one element., id=navbar id=navbar id=myModalLabel id=myModalLabel id=myModalLabel,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,35,New,03-28-21,N/A
36,Standards,HTML5  ,1,1,770 ,Unclosed element nav.,,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,36,New,03-28-21,N/A
37,Standards,HTML5  ,1,1,925 ,Stray end tag div.,,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,37,New,03-28-21,N/A
38,Standards,HTML5  ,1,1,772 ,Stray end tag nav.,,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,38,New,03-28-21,N/A
39,Standards,HTML5  ,1,1,770 ,"End tag div seen, but there were open elements.",,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,39,New,03-28-21,N/A
40,Standards,HTML5  ,1,1,10 ,Consider avoiding viewport values that prevent users from resizing documents.,,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/html5/ ,1,40,New,03-28-21,N/A
41,Standards,CSS Validation  ,3,3,15 704 920 ,Property doesn't exist in CSS., text-decoration-skip-ink color-adjust overflow-anchor,"The property name may be misspelled, vendor specific, or a new CSS property from a draft specification.",https://testfyps.nhlbi.nih.gov/fyps/assets/npm-asset/bootstrap/dist/css/bootstrap.min.css,, ,1,41,New,03-28-21,N/A
42,Standards,CSS Validation  ,3,1,1322 ,Property doesn't exist in CSS., pointer,"The property name may be misspelled, vendor specific, or a new CSS property from a draft specification.",https://testfyps.nhlbi.nih.gov/fyps/assets/css/easyui.css,, ,1,42,New,03-28-21,N/A
43,Usability,Usability.gov 10:4 ,2,4,15 601 602 929 ,Avoid underlined text - people will click on it and think it's a broken link.,,"Use something other than underlining for highlighting text, because it looks like a link, and users become frustrated when the ""link"" does not work.",https://testfyps.nhlbi.nih.gov/fyps/assets/npm-asset/bootstrap/dist/css/bootstrap.min.css,,https://guidelines.usability.gov/guidelines/95 ,1,43,New,03-28-21,N/A
44,Usability,Usability.gov 14:3 W3C  ,2,1,40 ,Omitting img width or height attributes makes the page layout jump about as images load.,,"This makes the page very hard to read or click while it's loading. Fix by adding width and height attributes to the img tag matching the image dimensions. In responsive layouts, specifying width and height prevents layout jumping because the browser can pre-calculate the final image size when CSS like this is used: img { max-width: 100%; height: auto }",https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://guidelines.usability.gov/guidelines/152 https://developer.mozilla.org/en-US/docs/Web/Media/images/aspect_ratio_mapping ,1,44,New,03-28-21,N/A
45,Usability,Usability.gov 11:5 ,3,1,615 ,Use bold text sparingly - for one or two words or a short phrase.,,Keep runs of bold text to less than 70 characters.,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://guidelines.usability.gov/guidelines/110 ,1,45,New,03-28-21,N/A
46,Usability,Usability.gov 11:8 ,3,5,126 129 619 808 828 ,Use at least a 12-point font on all web pages.,,"For users over age 65, it may be better to use at least fourteen-point fonts. Never use less than nine-point font on a Web site. The following are all smaller than 12 point: <p style=""font-size: 11pt;"" > <p style=""font-size: 15px;"" > <p style=""font-size: small;"" > <font size=""2"" > <font size=""-1"" >",https://testfyps.nhlbi.nih.gov/fyps/assets/css/easyui.css,,https://guidelines.usability.gov/guidelines/113 ,1,46,New,03-28-21,N/A
47,Usability,Usability.gov 11:8 ,3,2,22 62 ,Use at least a 12-point font on all web pages.,,"For users over age 65, it may be better to use at least fourteen-point fonts. Never use less than nine-point font on a Web site. The following are all smaller than 12 point: <p style=""font-size: 11pt;"" > <p style=""font-size: 15px;"" > <p style=""font-size: small;"" > <font size=""2"" > <font size=""-1"" >",https://testfyps.nhlbi.nih.gov/fyps/assets/css/fyps.css,,https://guidelines.usability.gov/guidelines/113 ,1,47,New,03-28-21,N/A
0,Accessibility,WCAG 2.1 A F68 Section 508 (2017) A F68 ,1,1,187 ,HTML form control has no label.,,A label (or name) linked to the control allows screen readers to voice the label correctly when reading the control. To add a label do one of the following: Use a label element with the for attribute set to the ID of the form control Wrap a label element around the form control Add a title attribute Add an aria-label attribute Add an aria-labelledby attribute,https://testamis.nhlbi.nih.gov/index.php/add_multiple_animals,,https://www.w3.org/TR/WCAG20-TECHS/F68.html https://www.w3.org/TR/WCAG20-TECHS/F68.html ,2,48,Fixed,N/A,04/01/2021
1,Accessibility,WCAG 2.1 A F68 Section 508 (2017) A F68 ,1,5,595 595 595 595 595 ,HTML form control has no label.,,A label (or name) linked to the control allows screen readers to voice the label correctly when reading the control. To add a label do one of the following: Use a label element with the for attribute set to the ID of the form control Wrap a label element around the form control Add a title attribute Add an aria-label attribute Add an aria-labelledby attribute,https://testamis.nhlbi.nih.gov/index.php/request_blood,,https://www.w3.org/TR/WCAG20-TECHS/F68.html https://www.w3.org/TR/WCAG20-TECHS/F68.html ,2,49,Fixed,N/A,04/01/2021
2,Accessibility,WCAG 2.1 A 4.1.2 Section 508 (2017) A 4.1.2 ,1,5,595 595 595 595 595 ,The label element is blank.,,Add text to the label describing the associated control.,https://testamis.nhlbi.nih.gov/index.php/request_blood,,https://www.w3.org/TR/UNDERSTANDING-WCAG20/ensure-compat-rsv.html https://www.w3.org/TR/UNDERSTANDING-WCAG20/ensure-compat-rsv.html ,2,50,Fixed,N/A,04/01/2021
3,Accessibility,WCAG 2.1 A 3.1.1 Section 508 (2017) A 3.1.1 ,1,1,2 ,Use the lang attribute to identify the language of the page.,,"In HTML add a lang attribute containing a language code to the html tag, and in PDF set the language using Document Properties in Acrobat. This allows screen readers to pronounce words correctly.",https://testamis.nhlbi.nih.gov/index.php/request_blood,,https://www.w3.org/TR/UNDERSTANDING-WCAG20/meaning-doc-lang-id.html https://www.w3.org/TR/UNDERSTANDING-WCAG20/meaning-doc-lang-id.html ,2,51,Fixed,N/A,04/01/2021
4,Accessibility,WCAG 2.1 A F42 Section 508 (2017) A F42 ,1,1,337 ,This element uses JavaScript to behave like a link. Links like this cannot be tabbed to from the keyboard and are not read out when screen readers list the links on a page.,,"Use an a or area element with a fallback link target in the href attribute, to ensure it receive keyboard focus and behaves like a link.",https://testamis.nhlbi.nih.gov/index.php/add_multiple_animals,,https://www.w3.org/TR/WCAG20-TECHS/F42.html https://www.w3.org/TR/WCAG20-TECHS/F42.html ,2,52,Fixed,N/A,04/01/2021
5,Accessibility,WCAG 2.1 A F73 Section 508 (2017) A F73 ,1,3,164 159 161 ,Removing the underline from links makes it hard for color-blind users to see them.,,"Remove the text-decoration:none property from your link styles, or add other style attributes in addition to color changes to make links visible without color vision.",https://testamis.nhlbi.nih.gov/index.php/animal/search_animal,,https://www.w3.org/TR/WCAG20-TECHS/F73.html https://www.w3.org/TR/WCAG20-TECHS/F73.html ,2,53,Fixed,N/A,04/01/2021
6,Accessibility,WCAG 2.1 A F87 Section 508 (2017) A F87 ,1,2,754 757 ,"Content inserted with CSS is not read by some screen readers, and not available to people who turn off style sheets.",,Move the content from CSS to the HTML page so that all users can see it. Impact on users:NVDA 2019.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2018.4 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2017.3 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2016.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2019.1912.1 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2018.1811.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 18.0.5038 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 17.0.2619 IE11 Windows 10 Reading: Text inserted by CSS content property not read.,https://testamis.nhlbi.nih.gov/assets/npm-asset/bootstrap/dist/css/bootstrap.min.css?1615316679,,https://www.w3.org/TR/WCAG20-TECHS/F87.html https://www.w3.org/TR/WCAG20-TECHS/F87.html ,2,54,Fixed,N/A,04/01/2021
7,Accessibility,WCAG 2.1 A F87 Section 508 (2017) A F87 ,1,2,5047 5084 ,"Content inserted with CSS is not read by some screen readers, and not available to people who turn off style sheets.",,Move the content from CSS to the HTML page so that all users can see it. Impact on users:NVDA 2019.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2018.4 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2017.3 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2016.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2019.1912.1 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2018.1811.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 18.0.5038 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 17.0.2619 IE11 Windows 10 Reading: Text inserted by CSS content property not read.,https://testamis.nhlbi.nih.gov/assets/css/custom.css?1615316642,,https://www.w3.org/TR/WCAG20-TECHS/F87.html https://www.w3.org/TR/WCAG20-TECHS/F87.html ,2,55,Fixed,N/A,04/01/2021
8,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,1,90 ,Element a not allowed as child element in this context.,,,https://testamis.nhlbi.nih.gov/index.php/animal/search_animal,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,56,Fixed,N/A,04/01/2021
9,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,1,95 ,Element a not allowed as child element in this context.,,,https://testamis.nhlbi.nih.gov/index.php/newAnimal,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,57,Fixed,N/A,04/01/2021
10,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,1,89 ,Element a not allowed as child element in this context.,,,https://testamis.nhlbi.nih.gov/index.php/reports,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,58,Fixed,N/A,04/01/2021
11,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,1,91 ,Element a not allowed as child element in this context.,,,https://testamis.nhlbi.nih.gov/index.php/attachments_for_multiple_animals,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,59,Fixed,N/A,04/01/2021
12,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,1,91 ,Element a not allowed as child element in this context.,,,https://testamis.nhlbi.nih.gov/index.php/add_multiple_animals,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,60,Fixed,N/A,04/01/2021
13,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,1,92 ,Element a not allowed as child element in this context.,,,https://testamis.nhlbi.nih.gov/index.php/request_blood,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,61,Fixed,N/A,04/01/2021
14,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,5,59 68 59 77 59 ,Duplicate id - the same ID is used on more than one element., id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown,,https://testamis.nhlbi.nih.gov/index.php/animal/search_animal,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,62,Fixed,N/A,04/01/2021
15,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,5,64 73 64 82 64 ,Duplicate id - the same ID is used on more than one element., id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown,,https://testamis.nhlbi.nih.gov/index.php/newAnimal,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,63,Fixed,N/A,04/01/2021
16,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,5,58 67 58 76 58 ,Duplicate id - the same ID is used on more than one element., id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown,,https://testamis.nhlbi.nih.gov/index.php/reports,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,64,Fixed,N/A,04/01/2021
17,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,5,60 69 60 78 60 ,Duplicate id - the same ID is used on more than one element., id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown,,https://testamis.nhlbi.nih.gov/index.php/attachments_for_multiple_animals,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,65,Fixed,N/A,04/01/2021
18,Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,5,60 69 60 78 60 ,Duplicate id - the same ID is used on more than one element., id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown id=navbarDropdown,,https://testamis.nhlbi.nih.gov/index.php/add_multiple_animals,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses ,2,66,Fixed,N/A,04/01/2021
